S,N,Titel,Autor:in
x,,War and Peace (1869),Leo Tolstoy
x,,The Brothers Karamazov (1880),Feodor Dostoevsky
x,x,Madame Bovary (1857),Gustave Flaubert
x,,Crime and Punishment (1866),Feodor Dostoevsky
x,x,Anna Karenina (1877),Leo Tolstoy
 ,,The Red and the Black (1830),Stendhal
 ,,Moby-Dick (1851),Herman Melville
 x,,Middlemarch (1872),George Eliot
 ,x,Pride and Prejudice (1813),Jane Austen
 ,,Le Père Goriot (1835),Honoré de Balzac
x,,Germinal (1885),Emile Zola
 ,x,Wuthering Heights (1847),Emily Brontë 
 ,,Great Expectations (1861),Charles Dickens
x,,Dead Souls (1842),Nikolai Gogol
 ,x,Emma (1816),Jane Austen
 ,,The Idiot (1869),Fyodor Dostoevsky
 ,,Bleak House (1853),Charles Dickens
x,,Adventures of Huckleberry Finn (1885),Mark Twain 
x,,Oblomov (1859),Ivan Goncharov
x,x,Hunger (1890),Knut Hamsun
 ,,Sentimental Education (1869),Gustave Flaubert
x,,Fathers and Sons (1862),Ivan Turgenev
 ,,The Portrait of a Lady (1881),Henry James
 ,,Les Miserables (1862),Victor Hugo
x,,A Hero of Our Time (1840),Mikhail Lermontov
 ,,Dom Casmurro (1899),Machado de Assis
 ,,Eugénie Grandet (1833),Honoré de Balzac
 ,x,Sense and Sensibility (1811),Jane Austen
 ,,L'Assommoir (1877),Emile Zola
 ,,Against Nature (1884),Joris-Karl Huysmans
 ,,The Charterhouse of Parma (1839),Stendhal
 ,,Demons (1872),Fyodor Dostoevsky
 ,,Tess of the D’Urbervilles (1891),Thomas Hardy
x,,David Copperfield (1850),Charles Dickens
 ,,The Hunchback of Notre-Dame (1831),Victor Hugo
x,,Vanity Fair (1848),William Thackeray
 ,x,Frankenstein (1818),Mary Shelley 
 ,,The Posthumous Memoirs of Bras Cubas (1881),Machado de Assis
x,,Pan (1894),Knut Hamsun
 ,,The Scarlet Letter (1850),Nathaniel Hawthorne
 ,,Bouvard and Pécuchet (1881),Gustave Flaubert
 ,,The Picture of Dorian Gray (1890),Oscar Wilde
 ,x,Jane Eyre (1847),Charlotte Brontë
 ,,Washington Square (1880),Henry James
 ,,The Betrothed (1827),Alessandro Manzoni
x,,A Tale of Two Cities (1859),Charles Dickens
 ,,Nana (1880),Emile Zola 
 ,,The Red Badge of Courage (1895) ,Stephen Crane
 ,,Bel-Ami (1885),Guy de Maupassant
 ,,The Woman in White (1859),Wilkie Collins
 ,,Barchester Towers (1857),Anthony Trollope 
 ,,The Narrative of Arthur Gordon Pym of Nantucket (1838),Edgar Allan Poe
 ,,I Malavoglia (1881),Giovanni Verga
 ,,Jude the Obscure (1895),Thomas Hardy
 ,,La Cousine Bette (1846),Honoré de Balzac
 ,,Eugene Onegin (1833),Aleksandr Pushkin
x,,Silas Marner (1861),George Eliot 
 ,,The Count of Monte Cristo (1846),Alexandre Dumas
 ,,Erewhon (1872),Samuel Butler  
 ,,The Awakening (1899),Kate Chopin
 ,,Three Men in a Boat (1889),Jerome K.Jerome
 ,x,Mansfield Park (1814),Jane Austin
 ,,Elective Affinities (1809),Johann Wolfgang von Goethe
 ,x,Effi Briest (1896),Theodor Fontane
 ,,Ivanhoe (1819),Sir Walter Scott
 ,,Fortunata and Jacinta (1887),Perez Galdos
 ,,The Mill on the Floss (1860),George Eliot
x,,Uncle Tom’s Cabin (1852),Harriet Beecher Stowe
 ,,North and South (1855),Elizabeth Gaskell
 ,,The Magic Skin (1831),Honoré de Balzac
x,x,Around the World in Eighty Days (1873),Jules Verne
 ,,Dracula (1897),Bram Stoker
 ,,The Maias (1888),José Maria de Eça de Queiroz
 ,,The Doll (1890),Bolesław Prus
 ,,Senilità (1898),Italo Svevo
 ,,Tartarin of Tarascon (1872),Alphonse Daudet
 ,,A Study in Scarlet (1887),Conan Doyle 
 ,,Fru Marie Grubbe (1876),Jens Peter Jacobsen
 ,,Nightmare Abbey (1818),Thomas Love Peacock
 ,,The Three Musketeers (1844),Alexandre Dumas 
 ,,Green Henry (1855),Gottfried Keller
 ,,The War of the Worlds (1898),H.G.Wells
 ,,The Tenant of Wildfell Hall (1848),Anne Bronte
 ,,Bruges-la-Morte (1892),Georges Rodenbach
 ,,Qua Vadis (1985),Henryk Sienkiewicz
 ,,Beauchamp's Career (1875),George Meredith
 ,,The Last of the Mohicans (1826),James Fenimore Cooper
 ,,The Private Memoirs and Confessions of a Justified Sinner (1824),James Hogg
 ,,The Last Chronicle of Barset (1867),Anthony Trollope
 ,,The Moonstone (1868),Wilkie Collins
 ,,Esther Waters (1894),George Moore
 ,,Far From the Madding Crowd (1874),Thomas Hardy
 ,,The Golovlyov Family (1876),Mikhail Saltykov-Shchedrin
x,x,Twenty Thousand Leagues Under the Sea (1870),Jules Verne
 ,,Diary of a Nobody (1892),Weedon Grossmith 
 ,,The Red Room (1879),August Strindberg
 ,,Lorna Doone (1869),R.D.Blackmoore
 ,,Adolphe (1816),Benjamin Constant
 ,,Stopfkuchen (1891),Wilhelm Raabe
 ,,Indiana (1832),George Sand
